iter	Passed	Remaining
0	7	7074
1	11	5631
2	17	5889
3	23	5849
4	28	5601
5	33	5514
6	38	5519
7	45	5654
8	52	5745
9	59	5850
10	64	5755
11	69	5733
12	75	5740
13	81	5725
14	90	5956
15	98	6052
16	107	6239
17	112	6148
18	117	6085
19	124	6106
20	130	6096
21	135	6027
22	140	5970
23	145	5901
24	149	5847
25	155	5819
26	160	5778
27	165	5743
28	169	5686
29	175	5681
30	182	5695
31	187	5677
32	193	5661
33	198	5647
34	203	5618
35	208	5578
36	214	5587
37	219	5568
38	225	5566
39	231	5562
40	237	5563
41	243	5555
42	249	5554
43	255	5548
44	261	5545
45	267	5539
46	273	5545
47	279	5550
48	284	5524
49	294	5591
50	301	5613
51	308	5627
52	316	5653
53	321	5639
54	327	5625
55	332	5605
56	336	5573
57	344	5593
58	350	5589
59	356	5578
60	361	5560
61	366	5544
62	370	5517
63	376	5511
64	384	5534
65	389	5505
66	394	5494
67	399	5481
68	404	5451
69	410	5450
70	417	5457
71	421	5438
72	426	5416
73	432	5415
74	438	5411
75	444	5403
76	449	5392
77	455	5382
78	460	5367
79	465	5355
80	470	5341
81	475	5320
82	480	5303
83	484	5284
84	491	5288
85	496	5272
86	500	5252
87	506	5252
88	512	5242
89	517	5231
90	522	5215
91	527	5207
92	532	5195
93	538	5186
94	542	5169
95	548	5165
96	553	5151
97	559	5147
98	564	5136
99	570	5130
100	574	5113
101	580	5107
102	584	5094
103	589	5077
104	594	5068
105	600	5065
106	605	5051
107	611	5052
108	617	5045
109	621	5029
110	628	5035
111	634	5029
112	638	5011
113	646	5026
114	652	5020
115	658	5015
116	662	5002
117	667	4991
118	671	4974
119	676	4964
120	682	4955
121	687	4947
122	692	4939
123	698	4936
124	702	4920
125	707	4907
126	711	4894
127	717	4885
128	721	4871
129	725	4856
130	729	4842
131	734	4827
132	739	4817
133	743	4804
134	748	4793
135	752	4779
136	756	4767
137	761	4754
138	765	4742
139	770	4732
140	774	4719
141	779	4711
142	783	4698
143	788	4687
144	794	4681
145	798	4672
146	804	4668
147	809	4660
148	815	4657
149	820	4651
150	826	4645
151	830	4635
152	835	4627
153	842	4627
154	847	4619
155	852	4609
156	856	4599
157	862	4596
158	867	4587
159	872	4579
160	878	4577
161	883	4569
162	887	4559
163	892	4551
164	897	4541
165	901	4531
166	907	4524
167	911	4514
168	916	4508
169	921	4497
170	925	4487
171	929	4476
172	934	4466
173	938	4457
174	943	4446
175	948	4440
176	952	4430
177	957	4422
178	961	4411
179	966	4402
180	970	4392
181	975	4382
182	980	4375
183	984	4365
184	989	4358
185	993	4347
186	998	4339
187	1002	4331
188	1007	4323
189	1012	4317
190	1017	4308
191	1022	4303
192	1027	4297
193	1032	4288
