iter	Logloss
0	0.6477858211
1	0.6235167623
2	0.5960666565
3	0.5706332109
4	0.549587442
5	0.5358602896
6	0.5220619974
7	0.510668184
8	0.5012665876
9	0.4928294351
10	0.4869901164
11	0.4785944993
12	0.4736587217
13	0.4682852887
14	0.4628890084
15	0.4585006897
16	0.4545513175
17	0.4500913144
18	0.4455617629
19	0.4422012058
20	0.4403732343
21	0.4372006125
22	0.4343717576
23	0.4325786999
24	0.4299444795
25	0.4269382949
26	0.4254319289
27	0.4233407476
28	0.421397968
29	0.4200602442
30	0.4179150824
31	0.415653629
32	0.4139049906
33	0.4117764003
34	0.410445593
35	0.4090803548
36	0.4076997227
37	0.4052396296
38	0.4043188293
39	0.4028154826
40	0.402156134
41	0.4012229393
42	0.4002088414
43	0.3991196863
44	0.3976389984
45	0.3966370883
46	0.395679467
47	0.3941972787
48	0.392336864
49	0.3914055867
50	0.390621421
51	0.3899096885
52	0.3887530575
53	0.3882569012
54	0.3876207158
55	0.3864566502
56	0.3851171818
57	0.3842933535
58	0.3837265423
59	0.3830100931
60	0.3819638491
61	0.3813073763
62	0.3808920777
63	0.3806007583
64	0.3798741579
65	0.3790590111
66	0.3780905738
67	0.377374088
68	0.375812106
69	0.375401472
70	0.3749181308
71	0.3742465632
72	0.3734071693
73	0.3727413893
74	0.3724032951
75	0.3719469001
76	0.371573513
77	0.3710417806
78	0.3703029518
79	0.3698149838
80	0.3693745662
81	0.3686705464
82	0.3682245594
83	0.3677552405
84	0.3672337122
85	0.3667661307
86	0.3663847685
87	0.3653386157
88	0.3648683303
89	0.3644610092
90	0.364169474
91	0.3635619135
92	0.3631349968
93	0.3624498679
94	0.3613775753
95	0.3608072297
96	0.3601117227
97	0.3597560162
98	0.359205094
99	0.3585812461
100	0.3580013895
101	0.3575146426
102	0.3569182735
103	0.3565358021
104	0.3562588634
105	0.355681538
106	0.3550699597
107	0.3547438937
108	0.3542749931
109	0.3539221166
110	0.3533125234
111	0.3526633213
112	0.3519287278
113	0.3513496443
114	0.3507738121
115	0.3503170179
116	0.3498866359
117	0.3492139053
118	0.3485287985
119	0.3481719272
120	0.3474675083
121	0.3470619716
122	0.3466522653
123	0.3461086605
124	0.3457335288
125	0.3453129314
126	0.3448078261
127	0.3441977439
128	0.3436374713
129	0.3430674801
130	0.3425637405
131	0.3419795173
132	0.3414627313
133	0.3410898239
134	0.3405642723
135	0.3399310759
136	0.3393568256
137	0.3387418588
138	0.338138677
139	0.3378307671
140	0.3373750029
141	0.3370694391
142	0.336775604
143	0.3364026574
144	0.3358856451
145	0.3355761803
146	0.3352150677
147	0.3346899122
148	0.3342530171
149	0.333701219
150	0.3332777309
151	0.3328607644
152	0.3324231873
153	0.3322042567
154	0.3319370104
155	0.3314575819
156	0.3310667469
157	0.3306602242
158	0.3301313864
159	0.3295671078
160	0.3291060451
161	0.328853288
162	0.3283168474
163	0.3277181618
164	0.3273658055
165	0.3269396269
166	0.3267107882
167	0.3263330341
168	0.32611924
169	0.3257214424
170	0.3253562787
171	0.3249118274
172	0.3245022554
173	0.3240520973
174	0.3235844568
175	0.323281366
176	0.3229996949
177	0.3227601067
178	0.3222993383
179	0.3220815862
180	0.32147262
181	0.3211427295
182	0.3207158956
183	0.320452241
184	0.3202310053
185	0.3199586948
186	0.3196641786
187	0.3193133315
188	0.3190716054
189	0.3187552229
190	0.318508702
191	0.3182653378
192	0.3178554808
193	0.3174926425
194	0.3171020032
195	0.3168200739
196	0.3163992788
197	0.316118788
198	0.3158342525
199	0.3153803695
