iter	Passed	Remaining
0	6	1296
1	9	928
2	11	752
3	14	688
4	16	649
5	18	610
6	21	584
7	23	560
8	25	540
9	27	520
10	29	510
11	32	501
12	34	490
13	36	480
14	38	473
15	40	466
16	42	461
17	45	456
18	47	454
19	49	449
20	52	446
21	55	447
22	57	441
23	59	436
24	61	432
25	63	427
26	66	422
27	68	418
28	72	426
29	74	424
30	77	422
31	79	419
32	82	416
33	84	411
34	87	413
35	90	410
36	92	407
37	95	407
38	98	405
39	100	401
40	103	399
41	105	396
42	107	393
43	110	391
44	112	388
45	115	386
46	117	383
47	120	381
48	123	379
49	126	378
50	128	376
51	131	373
52	133	370
53	136	368
54	138	365
55	141	363
56	143	360
57	146	357
58	148	354
59	151	352
60	153	349
61	156	347
62	159	347
63	162	344
64	164	342
65	167	340
66	170	338
67	173	336
68	176	335
69	179	332
70	182	331
71	185	328
72	187	326
73	190	324
74	193	322
75	195	319
76	200	320
77	203	318
78	206	315
79	208	313
80	211	310
81	214	308
82	217	305
83	219	303
84	222	301
85	225	298
86	228	296
87	230	293
88	233	291
89	236	288
90	240	288
91	243	285
92	245	283
93	249	280
94	251	278
95	253	275
96	256	272
97	258	269
98	261	266
99	264	264
100	266	261
101	269	258
102	271	256
103	274	253
104	276	250
105	279	247
106	282	245
107	284	242
108	287	239
109	290	237
110	292	234
111	295	232
112	298	229
113	301	227
114	303	224
115	306	221
116	308	219
117	312	217
118	314	214
119	317	211
120	320	208
121	322	206
122	325	203
123	328	201
124	330	198
125	333	195
126	336	193
127	338	190
128	341	187
129	343	185
130	346	182
131	349	179
132	352	177
133	354	174
134	357	172
135	360	169
136	363	166
137	365	164
138	368	161
139	371	159
140	373	156
141	376	153
142	378	150
143	381	148
144	383	145
145	386	142
146	388	140
147	391	137
148	393	134
149	396	132
150	398	129
151	401	126
152	404	124
153	406	121
154	410	119
155	413	116
156	415	113
157	418	111
158	420	108
159	423	105
160	426	103
161	428	100
162	431	97
163	433	95
164	436	92
165	439	89
166	442	87
167	445	84
168	447	82
169	451	79
170	454	77
171	457	74
172	460	71
173	462	69
174	465	66
175	467	63
176	470	61
177	472	58
178	475	55
179	477	53
180	480	50
181	483	47
182	486	45
183	488	42
184	491	39
185	494	37
186	497	34
187	499	31
188	502	29
189	505	26
190	508	23
191	511	21
192	513	18
193	517	16
194	519	13
195	522	10
196	525	8
197	527	5
198	530	2
199	533	0
