Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Group,Cabin_number,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_False,CryoSleep_True,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_False,VIP_True,Cabin_deck_A,Cabin_deck_B,Cabin_deck_C,Cabin_deck_D,Cabin_deck_E,Cabin_deck_F,Cabin_deck_G,Cabin_deck_T,Cabin_side_P,Cabin_side_S
34.0,0.0,5.5254529391317835,3.1780538303479458,0.0,6.244166900663736,2832,173,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
12.0,0.0,0.0,0.0,0.0,0.0,3124,648,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
46.0,0.0,0.0,0.0,0.0,0.0,498,18,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
20.0,0.0,0.0,0.0,0.0,0.0,4927,937,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
24.0,0.0,4.770684624465665,7.666221925662725,0.0,0.0,5645,1078,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
52.0,0.0,0.0,0.0,0.0,0.0,3292,121,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
28.0,0.0,2.0794415416798357,2.8903717578961645,0.0,7.45298232946546,6453,1045,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
19.0,7.623153068476902,0.0,2.6390573296152584,0.6931471805599453,0.0,6239,1197,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
46.0,0.0,7.02108396428914,0.0,8.13973227971767,8.794218683679489,528,17,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
24.0,0.0,0.0,0.0,0.0,0.0,5723,372,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
18.0,6.57507584059962,5.419972597725881,0.0,0.0,0.0,3926,810,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
24.0,0.0,3.044522437723423,0.0,2.70805020110221,6.492239835020471,4093,841,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
18.0,0.0,0.0,6.551080335043404,0.0,0.0,3182,600,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
46.0,7.718685495198466,5.0369526024136295,4.927253685157205,7.27357694308949,5.272999558563747,1843,112,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
18.0,3.1354942159291497,0.0,6.525029657843462,0.0,0.6931471805599453,8216,1334,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
27.0,0.0,0.0,0.0,0.0,0.0,5628,900,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
26.0,0.0,0.0,0.0,0.0,0.0,7809,1493,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
2.0,0.0,0.0,0.0,0.0,0.0,7830,1268,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
43.0,0.0,5.1298987149230735,1.3862943611198906,0.0,6.115892125483034,4376,284,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
36.0,2.4849066497880004,4.382026634673881,0.0,5.351858133476067,7.547501682814967,2693,22,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
41.0,0.0,8.827614750837508,0.0,7.404887575616125,4.31748811353631,9276,98,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
25.0,0.0,0.0,0.0,0.0,0.0,6864,71,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
6.0,0.0,0.0,0.0,0.0,0.0,5601,904,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
26.0,0.0,0.0,0.0,0.0,0.0,4450,140,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
19.0,6.63200177739563,6.054439346269371,0.0,0.0,0.0,5949,180,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
21.0,0.0,4.2626798770413155,1.0986122886681098,0.0,6.18826412308259,7370,1525,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
23.0,0.0,3.6375861597263857,6.756932389247553,2.302585092994046,0.6931471805599453,5744,931,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
21.0,4.867534450455582,4.672828834461906,5.638354669333745,5.214935757608986,2.9444389791664403,8548,1755,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
17.0,5.3706380281276624,6.315358001522335,0.0,5.488937726156687,0.0,7601,1232,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
50.0,5.298317366548036,0.0,5.209486152841421,0.0,5.437282911049755,6227,1192,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
53.0,0.0,7.028201432058005,0.0,8.27893600229198,7.546809929309562,8772,325,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
39.0,0.0,0.0,0.0,0.0,0.0,407,69,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
29.0,0.0,2.3978952727983707,0.0,0.0,6.573680166960646,3537,733,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
34.0,4.59511985013459,6.573680166960646,3.4011973816621555,8.653994232908383,7.551186867296149,534,23,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
29.0,0.0,0.0,0.0,0.0,0.0,4981,814,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
21.0,0.0,0.0,0.0,0.0,0.0,8118,1310,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
19.0,7.5822291942764615,0.0,0.6931471805599453,6.464588303689961,0.0,6984,1450,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
29.0,0.0,5.75890177387728,0.0,5.289153282077714,5.82600010738045,6727,1090,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
36.0,0.0,0.0,0.0,8.413608875159667,8.646465527120377,664,46,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
