HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,Cabin_deck,Cabin_number,Cabin_side,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_False,CryoSleep_True,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_False,VIP_True,Cabin_deck_A,Cabin_deck_B,Cabin_deck_C,Cabin_deck_D,Cabin_deck_E,Cabin_deck_F,Cabin_deck_G,Cabin_deck_T,Cabin_side_P,Cabin_side_S
Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,0,1,B,0,P,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
Earth,False,TRAPPIST-1e,24.0,False,4.700480365792417,2.302585092994046,3.258096538021482,6.309918278226516,3.8066624897703196,1,2,F,0,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Europa,False,TRAPPIST-1e,58.0,True,3.784189633918261,8.182279739259018,0.0,8.812248018197431,3.912023005428146,0,3,A,0,S,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
Europa,False,TRAPPIST-1e,33.0,False,0.0,7.157735484249907,5.918893854273146,8.110727582974489,5.267858159063328,0,3,A,0,S,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Earth,False,TRAPPIST-1e,16.0,False,5.717027701406222,4.2626798770413155,5.0238805208462765,6.338594078203183,1.0986122886681098,1,4,F,1,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Earth,False,PSO J318.5-22,44.0,False,0.0,6.182084906716632,0.0,5.676753802268282,0.0,1,5,F,0,P,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
Earth,False,TRAPPIST-1e,26.0,False,3.7612001156935624,7.3395376954076745,1.3862943611198906,0.0,0.0,1,6,F,2,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,1,6,G,0,S,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Earth,False,TRAPPIST-1e,35.0,False,0.0,6.666956792429207,2.8903717578961645,5.37989735354046,0.0,1,7,F,3,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,1,8,B,1,P,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,1,8,B,1,P,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
Europa,False,55 Cancri e,45.0,False,3.6888794541139363,8.895081531754167,6.380122536899765,4.709530201312334,4.8283137373023015,1,8,B,1,P,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Mars,False,TRAPPIST-1e,32.0,False,4.30406509320417,0.0,7.024649030453636,0.0,4.736198448394496,1,9,F,1,P,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Earth,False,TRAPPIST-1e,48.0,False,6.579251212010101,0.6931471805599453,4.189654742026425,0.0,3.2188758248682006,0,10,G,1,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Earth,False,TRAPPIST-1e,28.0,False,2.1972245773362196,6.882437470997847,2.5649493574615367,1.0986122886681098,2.0794415416798357,1,11,F,2,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Earth,False,TRAPPIST-1e,31.0,False,3.4965075614664802,0.0,6.776506992372183,0.0,0.0,0,12,F,2,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Mars,False,55 Cancri e,27.0,False,7.160069207596127,4.812184355372417,6.2325135022910265,0.0,0.0,0,14,F,3,P,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Earth,False,55 Cancri e,24.0,False,0.0,0.6931471805599453,0.0,0.0,6.45833828334479,0,15,F,4,P,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,1,16,F,5,P,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,1,17,G,0,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Earth,False,55 Cancri e,14.0,False,6.023447592961033,0.0,0.6931471805599453,0.0,6.522092798170152,0,17,F,6,P,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,0,20,E,0,S,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
